DateTime,Players,Twitch Viewers,Events,Prize
26/05/2012,43950,,,
27/05/2012,41905,,,
28/05/2012,42415,,,
29/05/2012,42576,,,
30/05/2012,41547,,,
31/05/2012,54098,,,
01/06/2012,55519,,,
02/06/2012,57901,,,
03/06/2012,52426,,,
04/06/2012,51161,,,
05/06/2012,53217,,,
06/06/2012,52856,,,
07/06/2012,51574,,,
08/06/2012,54040,,,
09/06/2012,54436,,,
10/06/2012,50965,,,
11/06/2012,57093,,,
12/06/2012,52085,,,
13/06/2012,52847,,,
14/06/2012,52847,,,
15/06/2012,55173,,,
16/06/2012,54638,,,
17/06/2012,50802,,,
18/06/2012,53139,,,
19/06/2012,53443,,,
20/06/2012,52659,,,
21/06/2012,54787,,,
22/06/2012,58113,,,
23/06/2012,59926,,,
24/06/2012,56954,,,
25/06/2012,56683,,,
26/06/2012,57238,,,
27/06/2012,57286,,,
28/06/2012,60217,,,
29/06/2012,62084,,,
30/06/2012,65425,,,
01/07/2012,75041,,,
02/07/2012,60228,,,
03/07/2012,59497,,,
04/07/2012,60026,,,
05/07/2012,62443,,,
06/07/2012,63809,,,
07/07/2012,64205,,,
08/07/2012,63422,,,
09/07/2012,60932,,,
10/07/2012,59984,,,
11/07/2012,62252,,,
12/07/2012,63871,,,
13/07/2012,67993,,,
14/07/2012,71015,,,
15/07/2012,67098,,,
16/07/2012,68630,,,
17/07/2012,66545,,,
18/07/2012,67216,,,
19/07/2012,66061,,,
20/07/2012,70753,,,
21/07/2012,72372,,,
22/07/2012,69750,,,
23/07/2012,68914,,,
24/07/2012,66929,,,
25/07/2012,67416,,,
26/07/2012,73650,,,
27/07/2012,74310,,,
28/07/2012,75355,,,
29/07/2012,72723,,,
30/07/2012,72386,,,
31/07/2012,69243,,,
01/08/2012,108689,,,
02/08/2012,72073,,,
03/08/2012,74376,,,
04/08/2012,76025,,,
05/08/2012,72061,,,
06/08/2012,71082,,,
07/08/2012,71463,,,
08/08/2012,70657,,,
09/08/2012,70398,,,
10/08/2012,75505,,,
11/08/2012,75726,,,
12/08/2012,71559,,,
13/08/2012,70019,,,
14/08/2012,69520,,,
15/08/2012,69927,,,
16/08/2012,70338,,,
17/08/2012,73551,,,
18/08/2012,78599,,,
19/08/2012,74711,,,
20/08/2012,69926,,,
21/08/2012,71310,,,
22/08/2012,73540,,,
23/08/2012,73043,,,
24/08/2012,73583,,,
25/08/2012,108472,,,
26/08/2012,105839,,The International,"1,600,000"
27/08/2012,105167,,The International,"1,600,000"
28/08/2012,80479,,The International,"1,600,000"
29/08/2012,77752,,The International,"1,600,000"
30/08/2012,111804,,The International,"1,600,000"
31/08/2012,108557,,The International,"1,600,000"
01/09/2012,118901,,The International,"1,600,000"
02/09/2012,118479,,The International,"1,600,000"
03/09/2012,83298,,,
04/09/2012,80584,,,
05/09/2012,81657,,,
06/09/2012,70409,,,
07/09/2012,70409,,,
08/09/2012,70409,,,
09/09/2012,80110,,,
10/09/2012,80574,,,
11/09/2012,80452,,,
12/09/2012,81733,,,
13/09/2012,81592,,,
14/09/2012,90409,,,
15/09/2012,91719,,,
16/09/2012,79965,,,
17/09/2012,82755,,,
18/09/2012,79405,,,
19/09/2012,81340,,,
20/09/2012,84664,,,
21/09/2012,97697,,,
22/09/2012,97784,,,
23/09/2012,87176,,,
24/09/2012,81954,,,
25/09/2012,84298,,,
26/09/2012,83483,,,
27/09/2012,88965,,,
28/09/2012,99129,,,
29/09/2012,102129,,,
30/09/2012,89750,,,
01/10/2012,171860,,,
02/10/2012,89614,,,
03/10/2012,97314,,,
04/10/2012,110976,,,
05/10/2012,116386,,,
06/10/2012,112941,,,
07/10/2012,106831,,,
08/10/2012,101962,,,
09/10/2012,99846,,,
10/10/2012,100426,,,
11/10/2012,105059,,,
12/10/2012,112481,,,
13/10/2012,110661,,,
14/10/2012,99318,,,
15/10/2012,99647,,,
16/10/2012,96812,,,
17/10/2012,97340,,,
18/10/2012,97340,,,
19/10/2012,97340,,,
20/10/2012,127958,,,
21/10/2012,121831,,,
22/10/2012,134845,,,
23/10/2012,121309,,,
24/10/2012,131905,,,
25/10/2012,133295,,,
26/10/2012,145041,,,
27/10/2012,147013,,,
28/10/2012,133301,,,
29/10/2012,133498,,,
30/10/2012,171931,,,
31/10/2012,166805,,,
01/11/2012,169631,,,
02/11/2012,158228,,,
03/11/2012,154925,,,
04/11/2012,142382,,,
05/11/2012,135504,,,
06/11/2012,138398,,,
07/11/2012,140618,,,
08/11/2012,146990,,,
09/11/2012,163993,,,
10/11/2012,164331,,,
11/11/2012,149020,,,
12/11/2012,140023,,,
13/11/2012,138005,,,
14/11/2012,141691,,,
15/11/2012,148705,,,
16/11/2012,159020,,,
17/11/2012,156169,,,
18/11/2012,137382,,,
19/11/2012,137902,,,
20/11/2012,139073,,,
21/11/2012,147056,,,
22/11/2012,155884,,,
23/11/2012,170248,,,
24/11/2012,166166,,,
25/11/2012,147390,,,
26/11/2012,148120,,,
27/11/2012,151154,,,
28/11/2012,153963,,,
29/11/2012,153010,,,
30/11/2012,170847,,,
01/12/2012,213521,,,
02/12/2012,152503,,,
03/12/2012,153770,,,
04/12/2012,152190,,,
05/12/2012,154020,,,
06/12/2012,163280,,,
07/12/2012,180544,,,
08/12/2012,180298,,,
09/12/2012,164689,,,
10/12/2012,168620,,,
11/12/2012,166710,,,
12/12/2012,171101,,,
13/12/2012,185975,,,
14/12/2012,201442,,,
15/12/2012,203484,,,
16/12/2012,188619,,,
17/12/2012,187555,,,
